"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"12870",10873,8,"NECK CHEST ABDOMEN HIP THIGH KNEE BICEPS WRIST",0.720039924671589,0.710549752626558,0.693927244536303,23.2641726350785,1391.06360326496,695.404216752162,1426.07618537041,17.0010748104851,16.9760472989705,0.301312962429731,0.0696788672851025
"10916",10874,8,"AGE HEIGHT ADIPOSITY NECK ABDOMEN KNEE BICEPS FOREARM",0.720038100452425,0.710547866569456,0.694726463716204,23.265803355813,1391.06519967916,695.405697809453,1426.07778178461,17.0011855894469,16.976157914853,0.301314925784255,0.0696793213124307
"11620",10875,8,"AGE ABDOMEN HIP THIGH ANKLE BICEPS FOREARM WRIST",0.719998792689271,0.710507226339754,0.690734493828438,23.3009416690615,1391.09959623804,695.437609015673,1426.11217834349,17.0035726234596,16.9785414348808,0.301357231597141,0.069689104566021
"11538",10876,8,"AGE NECK CHEST ABDOMEN ANKLE BICEPS FOREARM WRIST",0.719994454844511,0.71050274144941,0.689877345729517,23.304819390299,1391.10339180644,695.44113034879,1426.11597391189,17.0038360468181,16.9788044704502,0.301361900294467,0.0696901842060695
"12447",10877,8,"HEIGHT ADIPOSITY NECK CHEST ABDOMEN ANKLE BICEPS FOREARM",0.719980188693257,0.710487991699808,0.688960310731904,23.3175723034998,1391.1158741236,695.45271082404,1426.12845622904,17.004702384293,16.979669532578,0.301377254542003,0.0696937348882829
"12095",10878,8,"WEIGHT ADIPOSITY NECK CHEST ABDOMEN HIP ANKLE BICEPS",0.719977701291888,0.710485419979749,0.689187897257191,23.3197958614298,1391.11805043614,695.45472990265,1426.13063254159,17.0048534361767,16.9798203620962,0.301379931660426,0.0696943539740923
"12814",10879,8,"ADIPOSITY NECK ABDOMEN HIP KNEE ANKLE FOREARM WRIST",0.719969804627027,0.710477255631333,0.69034840395694,23.3268549118879,1391.12495937026,695.461139688274,1426.13754147571,17.005332975232,16.9802991952156,0.301388430613284,0.0696963193638437
"10981",10880,8,"AGE HEIGHT ADIPOSITY CHEST ABDOMEN THIGH BICEPS WRIST",0.719963826426323,0.710471074779758,0.686421300762284,23.3321989933652,1391.130189676,695.465992128414,1426.14277178145,17.0056960121303,16.9806616976824,0.301394864778449,0.0696978072697637
"11578",10881,8,"AGE NECK ABDOMEN THIGH KNEE BICEPS FOREARM WRIST",0.719963307258613,0.710470538013142,0.694029437536004,23.3326630919602,1391.13064388864,695.466413526578,1426.14322599409,17.0057275395154,16.9806931786556,0.301395423543697,0.0696979364846812
"10919",10882,8,"AGE HEIGHT ADIPOSITY NECK ABDOMEN ANKLE BICEPS FOREARM",0.719957511357751,0.710464545641064,0.691787427259133,23.3378442104901,1391.13571458493,695.471117894876,1426.14829669037,17.0060795059307,16.9810446269364,0.301401661504794,0.0696993790182513
"12308",10883,8,"WEIGHT NECK CHEST ABDOMEN HIP KNEE ANKLE WRIST",0.719943704795268,0.710450271059514,0.691266196789803,23.3501862843826,1391.14779319644,695.482323921674,1426.16037530188,17.0069179340579,16.9818818208022,0.301416521110178,0.0697028153140651
"10375",10884,8,"AGE WEIGHT ADIPOSITY NECK CHEST ABDOMEN HIP WRIST",0.719941725540589,0.710448224711457,0.686636088987954,23.3519555957174,1391.14952469004,695.483930331238,1426.16210679548,17.0070381278277,16.9820018376332,0.301418651324959,0.0697033079279634
"11485",10885,8,"AGE ADIPOSITY ABDOMEN HIP THIGH BICEPS FOREARM WRIST",0.719930828766604,0.710436958555302,0.691183934313531,23.3616965279655,1391.15905719785,695.492774217925,1426.1716393033,17.0076998538596,16.9826625895292,0.301430379208825,0.0697060200106327
